保单文件名, 产品类型, 产品名称, 产品交费方式, 产品条款文字编码
{'file_name': '424db5bd-cad4-444c-8b6a-538e93ea0a3f_TERMS'}, {'product_category': '爱倍护重大疾病保险'}, {'product_name': '招商仁和爱倍护重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '招商仁和[2017]疾病保险003号'}
{'file_name': '4253ef47-07f2-4913-8f09-f89a17149baa_TERMS'}, {'product_category': '附加重大疾病保险条款'}, {'product_name': '人寿保险有限公司附加重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '方正人寿[2012]疾病保险047号'}
{'file_name': '426a1acf-3751-4c51-a596-7315a961b04b_TERMS'}, {'product_category': '母婴重大疾病保险条款'}, {'product_name': '保险有限公司附加母婴重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '海尔保险[2011]疾病保险040号'}
{'file_name': '428ae496-19ba-4a92-a6ca-462f2ed5f44a_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '条款国华华瑞国民终身重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '国华人寿[2017]疾病保险019号'}
{'file_name': '42fcef40-4238-4a92-915f-2834d2053d08_TERMS'}, {'product_category': '瑞康重大疾病保险'}, {'product_name': '查询验证条款瑞泰瑞康重大疾病保险'}, {'product_payment': '分期交纳保险费'}, {'product_term': '瑞泰人寿[2017]疾病保险003号'}
{'file_name': '4350aa8e-374c-4eff-a989-3d943c9ff1a0_TERMS'}, {'product_category': '逸生重大疾病保险条款'}, {'product_name': '中宏附加康健逸生重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '中宏人寿[2017]疾病保险010号'}
{'file_name': '4354cec8-cfb7-4f02-a032-dd716575f75e_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '生命附加提前给付重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '生命人寿[2012]疾病保险009号'}
{'file_name': '4370aa3e-3fc3-4ca2-998f-9b7a31fcf37d_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '提前给付重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '英大人寿[2012]疾病保险015号'}
{'file_name': '43a84baa-3e3e-4b57-962b-679014698402_TERMS'}, {'product_category': '宝吉康宝重大疾病保险'}, {'product_name': '康宝吉康宝吉康宝吉康宝重大疾病保险'}, {'product_payment': '分期交纳保险费'}, {'product_term': '无'}
{'file_name': '4456fb31-96bd-4631-83dd-119037e3acd4_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加卓越人生提前给付重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '4494c923-bf70-4c90-9be1-cabbc1aa5c25_TERMS'}, {'product_category': '向重大疾病保险'}, {'product_name': '我们向重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '泰康人寿[2014]疾病保险053号'}
{'file_name': '44ff6427-1a90-4b27-83f1-d5c7a7de7aaf_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '人寿附加万能额外给付重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '阳光人寿[2009]疾病保险057号'}
{'file_name': '451e7e61-2de8-403d-9799-6145846eecc9_TERMS'}, {'product_category': '重症疾病保险'}, {'product_name': '我们将仅承担重症疾病保险'}, {'product_payment': '无'}, {'product_term': '信美相互[2017]疾病保险056号'}
{'file_name': '4536ac99-7216-4c68-be91-0a84eb8aaaed_TERMS'}, {'product_category': '保险费重大疾病保险条款'}, {'product_name': '附加投保人豁免保险费重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '信泰保险[2017]疾病保险048号'}
{'file_name': '45657dbd-2aac-4e1a-be15-29e335e5d06a_TERMS'}, {'product_category': '少儿重大疾病保险条款'}, {'product_name': '寿险附加金色前程少儿重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '人保寿险[2018]疾病保险008号'}
{'file_name': '45c1b15d-b622-4f07-9651-92a74abbdd03_TERMS'}, {'product_category': '定期重大疾病保险条款'}, {'product_name': '天安人寿附加定期重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '天安人寿[2012]疾病保险003号'}
{'file_name': '45c6fda4-d75f-4d52-839c-523671c46734_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '投保人豁免保险费终身重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '永明人寿[2017]疾病保险43号'}
{'file_name': '4629f89f-cda7-4093-8ac9-eeb572a778ae_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '民生附加康裕额外给付重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '民生保险[2015]疾病保险022号'}
{'file_name': '463f061e-d525-4e2d-ac4b-dfdb850ac4be_TERMS'}, {'product_category': '癌症疾病保险条款'}, {'product_name': '查询验证条款信泰金无忧癌症疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '信泰保险[2017]疾病保险024号'}
{'file_name': '46550e93-b956-4ae0-be7e-a349162f3bae_TERMS'}, {'product_category': '安康重大疾病保险条款'}, {'product_name': '中宏长保安康重大疾病保险条款'}, {'product_payment': '一次性付清保险费'}, {'product_term': '中宏人寿[2017]疾病保险037号'}
{'file_name': '4667f1ca-b1a7-4b2a-8795-0b4ed159bcba_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '幸福附加祥鸿提前给付重大疾病保险'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '46fca099-b913-45b3-9316-dc2234231dad_TERMS'}, {'product_category': '幼儿重大疾病保险条款'}, {'product_name': '银安盛人寿附加学生幼儿重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '4728d467-5b71-45c8-b0cb-8943afdd870e_TERMS'}, {'product_category': '尔丽重大疾病保险'}, {'product_name': '验证条款信泰莫非尔丽重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '信泰人寿[2016]疾病保险016号'}
{'file_name': '47486da1-0daf-4994-9871-0c9068526e85_TERMS'}, {'product_category': '首次重大疾病保险'}, {'product_name': '对应的保险金额给付首次重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '安联人寿[2016]疾病保险003号'}
{'file_name': '47a46f70-67a7-4d35-aaca-23b1ff15aa46_TERMS'}, {'product_category': '第一次重大疾病保险'}, {'product_name': '第一次重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '信泰人寿[2016]疾病保险045号'}
{'file_name': '480c2c3e-a7ae-4a5c-9d8e-beb69f1c20b2_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加一生安康提前给付重大疾病保险条款'}, {'product_payment': '分期交纳保险费'}, {'product_term': '无'}
{'file_name': '48a14217-9c9f-42b5-ab25-28dab706b60e_TERMS'}, {'product_category': '怡保重大疾病保险条款'}, {'product_name': '查询验证条款附加康怡保重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '方正人寿[2015]疾病保险012号'}
{'file_name': '48af386e-fbc1-4658-935a-f2619bc928e3_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '公司给付重大疾病保险'}, {'product_payment': '无'}, {'product_term': '新华保险[2015]疾病保险031号'}
{'file_name': '48c1100c-6498-4aef-9678-726f3e5e568f_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '恒安标准臻爱健康终身重大疾病保险条款'}, {'product_payment': '一次性交清保险费'}, {'product_term': '标准司字[2017]1号'}
{'file_name': '49c44b09-eb60-4b1a-aebc-b8354dc9fbf5_TERMS'}, {'product_category': '今生重大疾病保险条款'}, {'product_name': '太平附加关爱今生重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '太平人寿[2017]疾病保险041号'}
{'file_name': '4a0d9d20-1c65-4a6d-91c1-72993114d247_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '百年安康一生终身重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '4a5a82fd-4294-4498-9f82-0042dd24a296_TERMS'}, {'product_category': '一生重大疾病保险条款'}, {'product_name': '有限公司附加福康一生重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '方正人寿[2012]疾病保险051号'}
{'file_name': '4a6b3456-9f88-4488-b431-9c5e9d7d194b_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加阳光随行额外给付重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '阳光人寿[2013]疾病保险020号'}
{'file_name': '4adc9e84-cdf4-4093-bea1-c32f7e3b3d4a_TERMS'}, {'product_category': '女性重大疾病保险条款'}, {'product_name': '海尔纽约人寿附加女性重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '纽约人寿[2009]疾病保险038号'}
{'file_name': '4aeaa89a-f6be-4c38-9bcf-bd29c64e2c0e_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '终身重大疾病保险条款'}, {'product_payment': '一次性支付保险费'}, {'product_term': '太平人寿[2013]疾病保险027号'}
{'file_name': '4afa5ef2-2dd1-40d5-b477-bbccf458ea48_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '太平乐享无忧终身重大疾病保险条款'}, {'product_payment': '一次性支付保险费'}, {'product_term': '太平人寿[2017]疾病保险030号'}
{'file_name': '4b2bf080-941d-4822-b469-79ac02a23582_TERMS'}, {'product_category': '终身重大疾病保险'}, {'product_name': '恒安标准幸亏有你终身重大疾病保险'}, {'product_payment': '无'}, {'product_term': '标准人寿[2009]疾病保险024号'}
{'file_name': '4b2f7d6a-83a7-4d2f-9a3a-a0dbd730e640_TERMS'}, {'product_category': '母爱疾病保险条款'}, {'product_name': '条款中意附加康逸行女性母爱疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '中意人寿[2011]疾病保险048号'}
{'file_name': '4b4afe26-432d-4361-b912-df05714986cb_TERMS'}, {'product_category': '附加重大疾病保险'}, {'product_name': '正德附加重大疾病保险'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '4bbe02b7-0032-4ffc-adcc-25c762d5154e_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '款君康附加六福提前给付重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '君康人寿[2016]疾病保险002号'}
{'file_name': '4c02460e-b818-4e42-b782-4453e9cb5239_TERMS'}, {'product_category': '一生重大疾病保险条款'}, {'product_name': '有限公司附加康宁一生重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '海尔保险[2011]疾病保险083号'}
{'file_name': '4c0d1b64-e0b4-4f27-a98a-cfd5816766aa_TERMS'}, {'product_category': '长期疾病保险'}, {'product_name': '条款中英人寿康佑一生长期疾病保险'}, {'product_payment': '无'}, {'product_term': '中英人寿[2013]疾病保险039号'}
{'file_name': '4c5819a9-70e1-4249-a3a1-964ebd0f176b_TERMS'}, {'product_category': '如意重大疾病保险条款'}, {'product_name': '公司工银安盛人寿御如意重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '4d2edc8a-60fd-474f-a01f-5df0908a7bd1_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '疾病保险金受益人给付重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '4d3910d1-7f9b-46b6-a5d2-72fe5cfee3ac_TERMS'}, {'product_category': '无忧重大疾病保险'}, {'product_name': '股份有限公司健康无忧重大疾病保险'}, {'product_payment': '无'}, {'product_term': '新华保险[2017]疾病保险015号'}
{'file_name': '4d4335d5-3507-4f34-8726-bb80f81158b5_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '实际交纳的保险费给付重大疾病保险'}, {'product_payment': '无'}, {'product_term': '天安人寿[2016]疾病保险039号'}
{'file_name': '4d5ecead-9267-4907-a865-feaf5a54e7b7_TERMS'}, {'product_category': '第二次重大疾病保险'}, {'product_name': '有限公司附加精选第二次重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '泰大都会[2011]疾病保险194号'}
{'file_name': '4d9b659f-0061-4c7a-8961-bbbd965688c3_TERMS'}, {'product_category': '一生重大疾病保险条款'}, {'product_name': '信诺附加至尊版珍爱一生重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '招商信诺[2012]疾病保险159号'}
{'file_name': '4dec083d-45c5-4d3e-84bd-4b62de17f0a7_TERMS'}, {'product_category': '鸿康重大疾病保险条款'}, {'product_name': '查询验证条款嘉禾鸿康重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '嘉禾人寿[2012]疾病保险007号'}
{'file_name': '4e0d063d-9a42-4cca-b947-f665442d428e_TERMS'}, {'product_category': '保费重大疾病保险条款'}, {'product_name': '太平附加真爱豁免保费重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '太平人寿[2015]疾病保险011号'}
{'file_name': '4e8e721b-74c3-4ccb-9e82-7f57a6f8da8f_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '附加心福传家提前给付重大疾病保险'}, {'product_payment': '无'}, {'product_term': '中英人寿[2016]疾病保险020号'}
{'file_name': '4e9a48bb-8c31-408f-b0ce-b1f3eb38d503_TERMS'}, {'product_category': '无忧重大疾病保险条款'}, {'product_name': '生命安康无忧重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '生命人寿[2013]疾病保险004号'}
{'file_name': '4f383d51-0d9c-455c-a31a-a703ceac920e_TERMS'}, {'product_category': '无忧重大疾病保险条款'}, {'product_name': '附加康健无忧重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '新华保险[2015]疾病保险035号'}
{'file_name': '4f673795-e6cc-4aa5-9f15-907833bc6804_TERMS'}, {'product_category': '无忧重大疾病保险条款'}, {'product_name': '查询验证条款汇丰无忧重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '汇丰人寿[2017]疾病保险003号'}
{'file_name': '4f7fc931-1ba5-46eb-9738-c6d4d7fbe59c_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '天安人寿康佑一生终身重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '天安人寿[2015]疾病保险036号'}
{'file_name': '4f9ab276-b183-4571-a506-5da927d2cf23_TERMS'}, {'product_category': '瑞康重大疾病保险条款'}, {'product_name': '人寿保险有限公司瑞康重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '方正人寿[2013]疾病保险016号'}
{'file_name': '4fec6d5d-2d4f-47fd-b912-269d88b5d948_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '东吴附加提前给付重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '东吴人寿[2012]疾病保险011号'}
{'file_name': '500b8733-0a51-4964-9ef8-2c64bc3999e7_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '百年康顺提前给付终身重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '方正人寿[2014]疾病保险004号'}
{'file_name': '501cb6c1-115c-4b22-a46e-3ea7b1b365ac_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '健康宝终身重大疾病保险条款'}, {'product_payment': '一次性交清保险费'}, {'product_term': '昆仑健康[2016]疾病保险001号'}
{'file_name': '50d1d2dd-5798-485d-b68e-19a443bc1ae7_TERMS'}, {'product_category': '定期重大疾病保险'}, {'product_name': '条款和谐健康之享定期重大疾病保险'}, {'product_payment': '分期交纳保险费'}, {'product_term': '和谐健康[2014]疾病保险029号'}
{'file_name': '50f1e5ba-edd4-4db8-8192-dba50e9ac409_TERMS'}, {'product_category': '康宸重大疾病保险条款'}, {'product_name': '横琴康宸重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '横琴人寿[2017]疾病保险044号'}
{'file_name': '5121258d-811c-483c-bc9c-4fcf0aa2c158_TERMS'}, {'product_category': '人生重大疾病保险条款'}, {'product_name': '泰康附加康佑人生重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '5171d000-c79e-41f2-bee4-a37a5eda72d6_TERMS'}, {'product_category': '防癌疾病保险'}, {'product_name': '关爱版长期长期长期长期防癌疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '51870cf8-500a-4924-99d8-d11987fd41f8_TERMS'}, {'product_category': '爱重大疾病保险条款'}, {'product_name': '君龙附加真爱重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '君龙人寿[2012]疾病保险033号'}
{'file_name': '51b24a71-5dfe-4ce0-8a51-8783b81fbe96_TERMS'}, {'product_category': '少儿重大疾病保险条款'}, {'product_name': '司工银安盛人寿附加少儿重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '51b8f90a-9b88-4d83-9114-e9546c627392_TERMS'}, {'product_category': '人生重大疾病保险条款'}, {'product_name': '中银三星附加康满人生重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '三星人寿[2015]疾病保险101号'}
{'file_name': '52d5be7c-73ac-482b-85b7-40c8a2eb2e06_TERMS'}, {'product_category': '海臻选重大疾病保险条款'}, {'product_name': '上海人寿附加览海臻选重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '上海人寿[2017]疾病保险031号'}
{'file_name': '52fad830-e01b-4308-8a42-92241d898b9e_TERMS'}, {'product_category': '长期重大疾病保险'}, {'product_name': '附加精选提前给付长期重大疾病保险'}, {'product_payment': '无'}, {'product_term': '泰大都会[2012]疾病保险062号'}
{'file_name': '5302ff19-7356-40d9-91ac-47ea2cc27508_TERMS'}, {'product_category': '豁免疾病保险'}, {'product_name': '恒安标准附加保险费豁免疾病保险'}, {'product_payment': '无'}, {'product_term': '标准司字[2016]257号'}
{'file_name': '5379738e-2bce-4cd3-8780-2c5b881299a4_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '护身福尊享版提前给付重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '平安人寿[2015]疾病保险051号'}
{'file_name': '53bb8cfe-2f26-4643-9b8a-0947e8aa0c9e_TERMS'}, {'product_category': '人保福重大疾病保险条款'}, {'product_name': '条款人保寿险附加人保福重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '人保寿险[2017]疾病保险040号'}
{'file_name': '53f15122-2c26-4a3a-9ce8-a4fe5bdd9a79_TERMS'}, {'product_category': '一生重大疾病保险条款'}, {'product_name': '太平附加普泰一生重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '太平人寿[2017]疾病保险008号'}
{'file_name': '5402498e-7dc4-43b4-9f5d-b7e40cf2adeb_TERMS'}, {'product_category': '轻症疾病保险'}, {'product_name': '疾病保险金受益人给付轻症疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '泰康人寿[2016]疾病保险009号'}
{'file_name': '5434e940-012a-41d9-87f2-e0f2a15249e0_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '平安附加护身福提前给付重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '平安人寿[2015]疾病保险004号'}
{'file_name': '548609bb-d628-4202-9431-c7bdaebba3ff_TERMS'}, {'product_category': '终身重大疾病保险'}, {'product_name': '无忧终身重大疾病保险'}, {'product_payment': '无'}, {'product_term': '新华保险[2016]疾病保险147号'}
{'file_name': '54f8eeda-b3df-4182-8ece-a37bb9dcaf80_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '英大附加安康宝提前给付重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '英大人寿[2012]疾病保险012号'}
{'file_name': '554fbbce-422c-4bc0-8f40-404e15e05a15_TERMS'}, {'product_category': '特定疾病保险'}, {'product_name': '平安附加安康提前给付特定疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '平安人寿[2017]疾病保险002号'}
{'file_name': '56b911e7-c326-42ae-b765-4b99a286e02c_TERMS'}, {'product_category': '保险费重大疾病保险条款'}, {'product_name': '附加投保人豁免保险费重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '56d33985-77e8-42e7-9677-103ed206e2e8_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '我们不承担给付重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '信诚人寿[2015]疾病保险004号'}
{'file_name': '56f03712-4acf-4e41-be95-4719080cd152_TERMS'}, {'product_category': '定期重大疾病保险条款'}, {'product_name': '健康定期重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '新华保险[2015]疾病保险002号'}
{'file_name': '5712bd0b-f05d-4818-a972-9d54eaada452_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加康乐相伴提前给付重大疾病保险条款'}, {'product_payment': '分期交纳保险费'}, {'product_term': '无'}
{'file_name': '572196a9-5ff2-4e80-bbac-d972421478db_TERMS'}, {'product_category': '一生重大疾病保险条款'}, {'product_name': '君龙附加君康一生重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '君龙人寿[2017]疾病保险008号'}
{'file_name': '57391cb3-b0e5-41bc-a39f-f3a80e591716_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '众多多宝终身重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '575a6b21-101e-454f-a856-f0ddee938e6a_TERMS'}, {'product_category': '版重大疾病保险条款'}, {'product_name': '中宏长保福星尊享版重大疾病保险条款'}, {'product_payment': '一次性付清保险费'}, {'product_term': '中宏人寿[2017]疾病保险011号'}
{'file_name': '5778a1be-8d2e-47de-80a6-a1b1b6c996ee_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '附加领先财智额外给付重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '三星人寿[2012]疾病保险023号'}
{'file_name': '577ae59f-5555-4584-acbe-abde13843a00_TERMS'}, {'product_category': '人生重大疾病保险条款'}, {'product_name': '珠江附加康禧人生重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '珠江人寿[2015]疾病保险005号'}
{'file_name': '585a8145-a258-42a4-9201-1f1edfc11d24_TERMS'}, {'product_category': '安康重大疾病保险条款'}, {'product_name': '吉祥人寿附加吉美安康重大疾病保险条款'}, {'product_payment': '分期交付保险费'}, {'product_term': '吉祥人寿[2012]疾病保险002号'}
{'file_name': '5895b2de-e12f-4012-8d75-496a311dc269_TERMS'}, {'product_category': '无忧重大疾病保险条款'}, {'product_name': '中新大东方重疾无忧重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '58c2367c-b7ff-4553-8cc9-daf277988fac_TERMS'}, {'product_category': '少儿重大疾病保险条款'}, {'product_name': '太平附加幸福成长少儿重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '太平人寿[2014]疾病保险029号'}
{'file_name': '59ab32b4-e81b-4786-873b-fbc01427eeb9_TERMS'}, {'product_category': '综合疾病保险'}, {'product_name': '条款和谐健康之家定期综合疾病保险'}, {'product_payment': '分期交纳保险费'}, {'product_term': '和谐健康[2015]疾病保险024号'}
{'file_name': '59b60863-8a8f-48f3-971e-da6f33dd14d0_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '吉祥人寿吉美人生终身重大疾病保险条款'}, {'product_payment': '分期交付保险费'}, {'product_term': '吉祥人寿[2013]疾病保险016号'}
{'file_name': '59ed5536-c131-44cf-90e3-61b4a4dc307e_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '附加福寿安康提前给付重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '平安人寿[2017]疾病保险099号'}
{'file_name': '59f4e751-b372-40e4-b46b-5426bd108cd7_TERMS'}, {'product_category': '理财重大疾病保险条款'}, {'product_name': '泰康附加赢家理财重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '5a31ba1d-df11-4bd4-b930-1e69dff7adac_TERMS'}, {'product_category': '守护重大疾病保险条款'}, {'product_name': '复星保德信附加青年守护重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '德信人寿[2012]疾病保险016号'}
{'file_name': '5a3a7b7a-28ce-4444-8f17-3713d2da585c_TERMS'}, {'product_category': '同健重大疾病保险条款'}, {'product_name': '重大疾病保险条款同健重大疾病保险条款'}, {'product_payment': '分期交付保险费'}, {'product_term': '华夏人寿[2009]疾病保险059号'}
{'file_name': '5a5c0b33-0f2b-4ed9-82df-3e6405c383d0_TERMS'}, {'product_category': '爱重大疾病保险条款'}, {'product_name': '太平附加吉福康爱重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '太平人寿[2015]疾病保险043号'}
{'file_name': '5a86f71c-8666-4803-9745-3155f7408d60_TERMS'}, {'product_category': '首次重大疾病保险'}, {'product_name': '基本保险金额给付首次重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '昆仑健康[2010]疾病保险011号'}
{'file_name': '5ae31b7e-5a34-445a-b466-155b98c44769_TERMS'}, {'product_category': '向重大疾病保险'}, {'product_name': '两项金额中的较大者向重大疾病保险'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '5b654cdd-afcb-4a97-a442-889c210279cb_TERMS'}, {'product_category': '安康重大疾病保险条款'}, {'product_name': '股份有限公司吉祥安康重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '平洋人寿[2011]疾病保险009号'}
{'file_name': '5ba55cf0-795d-48e3-88e3-8ef27ead7d57_TERMS'}, {'product_category': '成长重大疾病保险条款'}, {'product_name': '有限公司附加乐享成长重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '方正人寿[2012]疾病保险108号'}
{'file_name': '5c29b3d1-69ba-4571-9ca7-97b32a103a0f_TERMS'}, {'product_category': '大赢家重大疾病保险条款'}, {'product_name': '生命附加大赢家重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '生命人寿[2012]疾病保险014号'}
{'file_name': '5ca62d72-b988-4267-a448-07f724988eea_TERMS'}, {'product_category': '版重大疾病保险'}, {'product_name': '中英人寿爱相随尊享版重大疾病保险'}, {'product_payment': '无'}, {'product_term': '中英人寿[2016]疾病保险009号'}
{'file_name': '5cc82a4e-3897-4647-9141-1c17ea3149b1_TERMS'}, {'product_category': '终身重大疾病保险'}, {'product_name': '终身重大疾病保险'}, {'product_payment': '分期缴付保险费'}, {'product_term': '中荷人寿[2016]疾病保险22号'}
{'file_name': '5cfe3dfc-95ab-4f90-8382-db9a954d4b09_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '国寿附加瑞鑫提前给付重大疾病保险'}, {'product_payment': '分期交付保险费'}, {'product_term': '无'}
{'file_name': '5d992035-0a92-4172-8b21-2a33b273c1f0_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '太平健康关爱终身重大疾病保险条款'}, {'product_payment': '一次性支付保险费'}, {'product_term': '太平人寿[2014]疾病保险012号'}
{'file_name': '5dabfad0-8420-4a3c-93af-a92d3ad05698_TERMS'}, {'product_category': '卫士重大疾病保险条款'}, {'product_name': '条款信泰附加健康卫士重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '信泰人寿[2012]疾病保险002号'}
{'file_name': '5dc16f54-65e3-4b1c-bf9d-2ea8960fa3e0_TERMS'}, {'product_category': '康健重大疾病保险'}, {'product_name': '国寿尊享康健重大疾病保险'}, {'product_payment': '无'}, {'product_term': '无'}
{'file_name': '5de117e2-6aa1-42ca-bc6b-f3216ef69d33_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '中银三星祥宝终身重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '三星人寿[2015]疾病保险015号'}
